response,prompt
1,You're welcome
2,Where is the hospital entrance?
3,What's your name?
6,Where is the waiting area?
9,Do you have your health insurance card?
10,Can I get directions to the lab?
12,What are the visiting hours?
16,Please sign in at the front desk.
17,Where can I find the drugs store?
20,Are there elevators in this building?
171,I am hungry.
175,I am thirsty.
180,He is dead
181,She died this morning
269,Please give me your card
290,How are you feeling today?
331,Your card please
367,Take these tablets twice a day
378,Exercise regularly.
386,Let's do a scan.
504,Do you have a history of diabetes?
507,Do you have a history of asthma?
23,What's your date of birth?
24,Eat more vegetables
214,Thank you 
26,What work do you do?
27,Have you given birth before?
28,Where do you stay?
29,Wait here
216,yes
209,no
32,You need to rest more
33,Your BP is high
34,Have you undergone surgery before?
35,Abstain from alcohol
36,Your BP is better than before
37,My child's body is hot
38,He has diarrhoea
39,Have you made  payment?
40,Your insurance has expired
41,What is the problem?
42,There is no problem.
43,Where is the ICU?
44,You have TB
45,Do you understand?
46,"Yes, I understand"
47,What's your age?
48,Are you  hungry?
49,Have you eaten?
50,We are done
51,yes please
52,where is your insurance card?
53,How old are  you?
54,where's the pharmacy?
55,can I use the elevator?
56,how long?
57,you have an infection
58,you traveled?
59,do you have a child?
60,I feel severe pain
61,Do you feel pain?
62,Do you have TB?
63,Do you drink?
64,Do you smoke?
65,Did you breastfeed your last child?
66,Do you have diabetes?
67,"yes, today"
68,"no, yesterday"
69,Your heartbeat is normal
70,Have you eaten today?
71,Do you have medications?
72,Is your medication finish?
73,Good afternoon
74,Good evening
75,How're you doing?
76,How old is your child?
77,Can he walk?
78,How old is your baby?
79,Can we go?
80,Please wait
81,Your baby is healthy
